State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Himachal Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jharkhand,2008,Importation of Girls,07. Importation of Girls,19,26,4,8,7,39,26,23,32
Karnataka,2008,Importation of Girls,07. Importation of Girls,0,0,0,1,0,1,0,0,0
Kerala,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Lakshadweep,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,2,0,0,0,2
Maharashtra,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Manipur,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Meghalaya,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Mizoram,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Nagaland,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Odisha,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,12,0,0,0,12
Puducherry,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Punjab,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Rajasthan,2008,Importation of Girls,07. Importation of Girls,1,0,0,0,1,0,0,1,2
Sikkim,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tamil Nadu,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tripura,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttarakhand,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
West Bengal,2008,Importation of Girls,07. Importation of Girls,11,5,1,16,20,5,5,12,32
Andaman & Nicobar Islands,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,1,0,0,0,1
Arunachal Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Assam,2009,Importation of Girls,07. Importation of Girls,0,1,0,0,2,1,1,0,2
Bihar,2009,Importation of Girls,07. Importation of Girls,2,23,4,33,227,31,23,6,233
Chandigarh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Chhattisgarh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Delhi,2009,Importation of Girls,07. Importation of Girls,0,0,0,1,0,0,0,0,0
Goa,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Gujarat,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Haryana,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jharkhand,2009,Importation of Girls,07. Importation of Girls,2,7,2,4,10,6,7,4,14
Karnataka,2009,Importation of Girls,07. Importation of Girls,0,0,0,3,0,2,0,0,0
Kerala,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Lakshadweep,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Importation of Girls,07. Importation of Girls,0,1,0,0,3,1,1,0,3
Maharashtra,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Manipur,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Importation of Girls,07. Importation of Girls,0,1,0,0,1,1,1,0,1
Mizoram,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Nagaland,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Odisha,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,12,1,0,0,12
Puducherry,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Punjab,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Rajasthan,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,1,0,0,0,1
Sikkim,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tripura,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttarakhand,2009,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
West Bengal,2009,Importation of Girls,07. Importation of Girls,11,9,0,10,18,5,9,11,29
Andaman & Nicobar Islands,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,1,0,0,0,1
Arunachal Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Assam,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,2,0,0,0,2
Bihar,2010,Importation of Girls,07. Importation of Girls,5,9,1,31,230,8,9,6,236
Chandigarh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Chhattisgarh,2010,Importation of Girls,07. Importation of Girls,0,2,0,0,2,2,2,0,2
Dadra & Nagar Haveli,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Delhi,2010,Importation of Girls,07. Importation of Girls,0,0,0,1,0,0,0,0,0
Goa,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Gujarat,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Haryana,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Jharkhand,2010,Importation of Girls,07. Importation of Girls,1,3,3,7,9,8,3,4,13
Karnataka,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Kerala,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Lakshadweep,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Importation of Girls,07. Importation of Girls,1,5,0,0,7,5,5,1,8
Maharashtra,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Manipur,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Importation of Girls,07. Importation of Girls,1,0,0,0,0,0,0,1,1
Mizoram,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Nagaland,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Odisha,2010,Importation of Girls,07. Importation of Girls,0,2,0,3,14,5,2,0,14
Puducherry,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Punjab,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Rajasthan,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,1,0,0,0,1
Sikkim,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Tripura,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
Uttarakhand,2010,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0
West Bengal,2010,Importation of Girls,07. Importation of Girls,8,8,0,10,18,8,8,8,26
Andaman & Nicobar Islands,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,0,0,0
Andhra Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,57,388,1332,1351,0
Arunachal Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,0,0,0
Assam,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,7,0,0,22,19,6,5,0
Bihar,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,9,54,29,28,0
Chandigarh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,19,3,3,0
Chhattisgarh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,14,12,11,0
Dadra & Nagar Haveli,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Daman & Diu,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,3,3,0
Delhi,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,79,616,95,96,0
Goa,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,62,28,28,0
Gujarat,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,7,118,61,68,0
Haryana,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,30,21,21,0
Himachal Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,1,1,1,0
Jammu & Kashmir,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,0,8,7,2,0
Jharkhand,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,2,9,3,2,0
Karnataka,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,1,0,12,708,1356,1359,0
Kerala,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,23,231,132,130,0
Lakshadweep,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,70,15,14,0
Maharashtra,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,1,0,470,1928,233,232,0
Manipur,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,4,4,0
Meghalaya,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,2,0,0,0
Mizoram,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,2,2,2,0
Nagaland,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,1,1,0
Odisha,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,11,55,24,26,0
Puducherry,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,9,39,39,0
Punjab,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,4,0,0,13,29,32,18,0
Rajasthan,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,305,68,68,0
Sikkim,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,2,0,1,308,5232,5231,0
Tripura,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,124,26,23,0
Uttarakhand,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,0,0,0
West Bengal,2001,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,75,61,31,51,0
Andaman & Nicobar Islands,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,0,0,0
Andhra Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,33,407,871,853,0
Arunachal Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,0,0,0
Assam,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,4,1,0,16,19,24,8,0
Bihar,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,9,81,10,7,0
Chandigarh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,22,3,4,0
Chhattisgarh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,19,12,12,0
Dadra & Nagar Haveli,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Daman & Diu,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,3,3,0
Delhi,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,78,665,69,64,0
Goa,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,24,25,25,0
Gujarat,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,177,57,54,0
Haryana,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,42,32,31,0
Himachal Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,1,0,1,2,2,2,0
Jammu & Kashmir,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,9,3,4,0
Jharkhand,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,14,3,1,0
Karnataka,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,2,0,8,674,1388,1381,0
Kerala,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,4,0,25,276,132,126,0
Lakshadweep,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,52,14,15,0
Maharashtra,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,4,0,471,2071,182,151,0
Manipur,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,6,6,0
Meghalaya,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,1,2,0,0,0
Mizoram,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Nagaland,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,4,3,0
Odisha,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,9,68,24,18,0
Puducherry,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,27,27,0
Punjab,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,22,43,38,33,0
Rajasthan,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,325,55,54,0
Sikkim,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Tamil Nadu,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,3,0,2,459,3530,3508,9
Tripura,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,4,103,42,45,0
Uttarakhand,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
West Bengal,2002,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,0,55,110,42,18,0
Andaman & Nicobar Islands,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,0,0,0
Andhra Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,4,0,49,498,349,331,0
Arunachal Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,0,0,0
Assam,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,0,0,28,19,22,13,0
Bihar,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,12,74,9,7,0
Chandigarh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,26,4,2,0
Chhattisgarh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,25,7,8,0
Dadra & Nagar Haveli,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,2,2,0
Daman & Diu,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Delhi,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,82,668,46,52,0
Goa,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,15,25,24,0
Gujarat,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,3,230,74,77,0
Haryana,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,3,66,57,59,0
Himachal Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,3,5,6,0
Jammu & Kashmir,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,13,2,1,0
Jharkhand,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,3,14,6,7,0
Karnataka,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,2,1,15,712,1361,1350,0
Kerala,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,4,6,1,30,339,159,149,0
Lakshadweep,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,58,33,33,0
Maharashtra,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,1,0,502,2142,179,177,0
Manipur,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Meghalaya,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,1,0,0
Mizoram,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Nagaland,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,3,1,0,0
Odisha,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,15,71,11,17,0
Puducherry,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,13,13,0
Punjab,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,24,67,54,46,0
Rajasthan,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,338,51,51,0
Sikkim,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,0,0,1,0,0
Tamil Nadu,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,0,12,477,2839,2609,0
Tripura,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Uttar Pradesh,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,1,120,47,46,0
Uttarakhand,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
West Bengal,2003,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,77,120,152,110,0
Andaman & Nicobar Islands,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,0,0,0
Andhra Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,67,551,405,391,0
Arunachal Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,0,0,0
Assam,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,5,0,0,34,28,28,10,0
Bihar,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,14,73,24,14,0
Chandigarh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,28,9,11,0
Chhattisgarh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,28,9,9,0
Dadra & Nagar Haveli,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Daman & Diu,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,3,1,1,0
Delhi,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,76,658,123,90,0
Goa,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,14,28,27,0
Gujarat,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,302,33,31,0
Haryana,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,123,62,59,0
Himachal Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,9,4,2,0
Jammu & Kashmir,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,13,11,5,0
Jharkhand,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,19,3,5,0
Karnataka,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,0,22,770,1170,1183,0
Kerala,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,8,0,35,377,168,167,0
Lakshadweep,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,76,23,23,0
Maharashtra,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,26,0,503,2226,309,195,0
Manipur,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Meghalaya,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,1,1,0,0,0
Mizoram,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,2,0,0,0,0,5,3,0
Nagaland,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,3,4,4,0
Odisha,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,9,68,22,20,0
Puducherry,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,4,4,4,0
Punjab,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,32,94,32,35,0
Rajasthan,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,352,79,78,0
Sikkim,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,1,0,0
Tamil Nadu,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,62,0,0,240,526,3022,3021,0
Tripura,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,1,124,44,38,0
Uttarakhand,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,0,4,4,0
West Bengal,2004,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,1,0,0,118,132,121,90,0
Andaman & Nicobar Islands,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,5,0,0,0
Andhra Pradesh,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,1,0,80,653,681,646,0
Arunachal Pradesh,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,1,0,0,0
Assam,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,7,0,0,47,28,25,17,0
Bihar,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,3,0,0,24,80,28,16,0
Chandigarh,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,35,9,4,0
Chhattisgarh,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,37,6,6,0
Dadra & Nagar Haveli,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,2,0,0,0
Daman & Diu,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,0,4,1,1,0
Delhi,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,109,469,151,117,0
Goa,2005,Immoral Traffic (Prevention) Act,08. Immoral Traffic Prevention Act,1956,0,0,0,2,20,38,36,0
